,Player,Restricted Area Percentage,2FGM %AST,Interior scoring %,Drive vs Pullup Ratio,Drive Pass %,Avg Dribble Per Touch
233,Ish Smith,0.48387096774193544,18.1,0.38095238095238093,2.153846153846154,60.1,4.86
234,Ish Wainright,0.7272727272727273,63.6,0.4166666666666667,inf,46.4,0.63
235,Ivica Zubac,0.65625,71.9,0.7766990291262136,2.0,17.6,0.48
236,JT Thor,0.7142857142857143,70.6,0.4,3.4999999999999996,25.0,0.87
237,Ja Morant,0.5302013422818792,24.8,0.6058394160583942,3.317460317460317,28.5,4.9
238,JaMychal Green,0.8214285714285714,69.0,0.53125,2.9999999999999996,47.1,0.37
239,JaQuori McLaughlin,,0.0,,0.6,100.0,4.35
240,JaVale McGee,0.6842105263157895,69.2,0.8043478260869567,1.7499999999999998,7.3,0.48
241,Jabari Parker,0.6666666666666666,60.0,0.3181818181818181,1.4285714285714286,25.0,1.08
242,Jaden McDaniels,0.6842105263157895,72.0,0.5,3.222222222222222,35.4,0.75
243,Jaden Springer,0.0,0.0,1.0,inf,100.0,3.33
244,Jae Crowder,0.4285714285714286,82.2,0.1702127659574468,0.7777777777777777,28.1,0.52
245,Jae'Sean Tate,0.7272727272727273,49.0,0.6610169491525424,17.333333333333336,36.4,1.63
246,Jahmi'us Ramsey,0.6666666666666667,57.9,0.49999999999999994,3.3333333333333335,26.3,2.33
247,Jaime Echenique,,0.0,,,0.0,0.0
248,Jake Layman,0.7777777777777778,68.2,0.5,2.0,36.4,1.23
249,Jakob Poeltl,0.5591397849462365,70.2,0.8740740740740741,2.5,35.4,0.41
250,Jalen Brunson,0.393939393939394,26.2,0.4662576687116564,2.6153846153846154,41.7,4.26
251,Jalen Green,0.793103448275862,43.8,0.3583815028901734,1.872340425531915,33.7,3.32
252,Jalen Johnson,0.8333333333333334,78.9,0.75,3.0,36.8,1.0
253,Jalen McDaniels,0.64,61.0,0.4516129032258064,10.333333333333334,37.7,1.13
254,Jalen Smith,0.6410256410256411,72.1,0.5217391304347826,2.666666666666667,17.9,0.46
255,Jalen Suggs,0.6557377049180328,36.5,0.47457627118644063,2.5714285714285716,36.3,3.49
256,James Bouknight,0.6774193548387097,43.8,0.47826086956521746,2.4545454545454546,32.1,2.81
257,James Ennis III,1.0,75.0,0.5365853658536587,13.0,22.2,0.93
258,James Harden,0.5657894736842105,18.9,0.33636363636363636,2.162162162162162,41.3,5.05
259,James Johnson,0.7941176470588235,51.2,0.6909090909090909,4.833333333333333,31.7,2.07
260,Jamorko Pickett,0.25,80.0,0.2631578947368421,0.8,40.0,0.54
261,Jared Butler,0.3076923076923077,18.2,0.3157894736842105,1.5294117647058825,49.1,5.28
262,Jared Harper,0.5555555555555556,33.3,0.27027027027027023,1.4545454545454546,37.5,3.86
263,Jaren Jackson Jr.,0.4810126582278481,56.3,0.46625766871165647,8.0,10.0,1.04
264,Jarred Vanderbilt,0.8297872340425532,69.0,0.8115942028985508,inf,50.0,0.63
265,Jarrett Allen,0.7444444444444445,73.4,0.782608695652174,11.0,27.4,0.33
266,Jarrett Culver,0.6111111111111112,41.0,0.4571428571428572,2.4,36.5,3.04
267,Jarron Cumberland,1.0,100.0,0.8571428571428572,,0.0,1.55
268,Javin DeLaurier,,0.0,,,0.0,0.5
269,Javonte Green,0.8235294117647058,67.9,0.5833333333333334,5.999999999999999,16.0,0.39
270,Javonte Smart,0.5,36.4,0.4666666666666666,1.4615384615384615,42.4,3.49
271,Jaxson Hayes,0.717391304347826,76.0,0.6666666666666666,4.0,21.8,0.49
272,Jay Huff,0.0,0.0,,inf,0.0,0.61
273,Jay Scrubb,0.6,33.3,0.37037037037037035,1.5714285714285716,38.9,1.78
274,Jaylen Brown,0.5632183908045978,47.1,0.423728813559322,1.9821428571428572,39.6,2.6
275,Jaylen Hoard,0.5862068965517242,42.9,0.6394557823129252,4.928571428571429,37.5,0.95
276,Jaylen Morris,0.7692307692307692,0.0,0.0,6.666666666666667,33.3,3.88
277,Jaylen Nowell,0.5151515151515151,42.9,0.4235294117647059,2.2,30.1,3.06
278,Jaysean Paige,,0.0,,1.0,100.0,1.62
279,Jayson Tatum,0.6511627906976744,42.9,0.3717472118959108,1.3902439024390245,32.1,2.76
280,Jeff Dowtin Jr.,0.46153846153846156,14.3,0.38095238095238093,2.4,63.6,3.26
281,Jeff Green,0.6904761904761905,82.1,0.5242718446601942,2.142857142857143,17.1,0.57
282,Jemerrio Jones,0.6666666666666666,50.0,1.0,,0.0,0.3
283,Jerami Grant,0.6491228070175439,49.8,0.3125,1.9761904761904763,33.2,1.39
284,Jeremiah Robinson-Earl,0.7407407407407407,75.0,0.3466666666666667,3.4999999999999996,40.6,0.42
285,Jeremy Lamb,0.3181818181818181,34.6,0.24657534246575344,1.7083333333333333,35.2,1.88
286,Jericho Sims,0.923076923076923,79.5,0.8181818181818181,,0.0,0.35
287,Jevon Carter,0.5,43.8,0.09523809523809523,0.7058823529411765,63.4,2.91
288,Jimmy Butler,0.5934065934065934,37.7,0.485981308411215,3.0454545454545454,44.6,3.1
289,Jock Landale,0.8,70.8,0.5306122448979592,1.0,50.0,0.44
290,Joe Harris,0.5714285714285714,86.7,0.1592920353982301,3.6363636363636362,37.5,0.65
291,Joe Ingles,0.46153846153846156,59.5,0.22222222222222224,2.111111111111111,57.1,1.93
292,Joe Johnson,,0.0,0.0,1.0,100.0,5.2
293,Joe Wieskamp,0.5,50.0,0.09523809523809523,0.6,55.6,0.91
294,Joel Ayayi,0.25,0.0,1.3333333333333335,0.8571428571428572,25.0,3.32
295,Joel Embiid,0.5588235294117647,51.3,0.39215686274509803,0.726027397260274,17.9,1.41
296,John Collins,0.676470588235294,79.3,0.5308641975308642,2.2,30.8,0.46
297,John Konchar,0.7647058823529411,61.4,0.45833333333333337,2.4,54.0,1.28
298,Jon Teske,,0.0,,,0.0,0.0
299,Jonas Valanciunas,0.5555555555555556,62.7,0.6067415730337079,1.4444444444444444,24.7,0.56
300,Jonathan Kuminga,0.6744186046511628,60.8,0.5591397849462365,6.0,27.4,1.53
301,Jordan Bell,,0.0,,,0.0,0.0
302,Jordan Clarkson,0.3684210526315789,22.1,0.4,2.02,34.0,3.06
303,Jordan Goodwin,1.0,0.0,,2.0,50.0,3.22
304,Jordan McLaughlin,0.6111111111111112,49.2,0.47368421052631576,4.666666666666667,53.2,3.65
