,Player,Restricted Area Percentage
530,T.J. McConnell,0.5294117647058825
531,Tacko Fall,0.6363636363636362
532,Taj Gibson,0.7368421052631579
533,Talen Horton-Tucker,0.693877551020408
534,Taurean Prince,0.631578947368421
535,Terance Mann,0.6808510638297872
536,Terence Davis,0.7647058823529411
537,Terrence Ross,0.48
538,Terry Rozier,0.5737704918032788
539,Terry Taylor,0.7547169811320755
540,Thaddeus Young,0.6585365853658538
541,Thanasis Antetokounmpo,0.8846153846153847
542,Theo Maledon,0.38709677419354843
543,Theo Pinson,0.25
544,Thomas Bryant,0.8064516129032258
545,Tim Frazier,0.2727272727272727
546,Tim Hardaway Jr.,0.5769230769230769
547,Timothe Luwawu-Cabarrot,0.8333333333333334
548,Tobias Harris,0.48837209302325574
549,Tomas Satoransky,0.5263157894736842
550,Tony Bradley,0.8095238095238094
551,Tony Snell,0.5714285714285715
552,Torrey Craig,0.7272727272727273
553,Trae Young,0.45454545454545453
554,Trayvon Palmer,0.0
555,Tre Jones,0.5
556,Tre Mann,0.375
557,Tremont Waters,0.3
558,Trendon Watford,0.5777777777777778
559,Trent Forrest,0.5
560,Trevelin Queen,0.888888888888889
561,Trevon Scott,0.75
562,Trevor Ariza,0.9
563,Trey Burke,0.4117647058823529
564,Trey Lyles,0.675
565,Trey Murphy III,0.7692307692307692
566,Tristan Thompson,0.5869565217391305
567,Troy Brown Jr.,0.7647058823529411
568,Ty Jerome,0.25925925925925924
569,Tyler Cook,0.8421052631578947
570,Tyler Hall,
571,Tyler Herro,0.4761904761904762
572,Tyler Johnson,
573,Tyrell Terry,
574,Tyrese Haliburton,0.4222222222222222
575,Tyrese Maxey,0.5857142857142856
576,Tyrone Wallace,0.631578947368421
577,Tyus Jones,0.25
578,Udoka Azubuike,0.8387096774193549
579,Udonis Haslem,0.7999999999999999
580,Usman Garuba,0.9
581,Vernon Carey Jr.,0.888888888888889
582,Victor Oladipo,0.7058823529411765
583,Vit Krejci,0.5714285714285714
584,Vlatko Cancar,0.7368421052631579
585,Wayne Ellington,0.6
586,Wayne Selden,0.0
587,Wendell Carter Jr.,0.6507936507936507
588,Wenyen Gabriel,0.7741935483870969
589,Wes Iwundu,1.0
590,Wesley Matthews,0.6666666666666666
591,Will Barton,0.6
592,Willie Cauley-Stein,0.7499999999999999
593,Willy Hernangomez,0.7142857142857143
594,Xavier Moon,0.5454545454545454
595,Xavier Sneed,0.5
596,Xavier Tillman,0.6206896551724137
597,Yuta Watanabe,0.5384615384615385
598,Yves Pons,0.5714285714285715
599,Zach Collins,0.6363636363636365
600,Zach LaVine,0.7536231884057971
601,Zavier Simpson,0.43877551020408156
602,Zeke Nnaji,0.8260869565217391
603,Ziaire Williams,0.6363636363636362
604,Zylan Cheatham,1.0
